# Cane (1979) Tables 2 and 3 - Galactic radio background radiation
# Extracted from MNRAS 189, 465 (1979), Tables 2 (NGP) and 3 (SGP)
# Type codes: S=Space (satellite/rocket), D=Dipole (ground), A=High angular resolution (ground)
# Declination: NGP/SGP = corrected to galactic pole; numeric = actual pointing declination (degrees)
# Observer numbers keyed to Table 4 in Cane (1979); observer_ref gives full citation
#
# CHANGELOG
# 2026-06-07: Initial extraction from PDF by Claude (claude-sonnet-4-6)
# 2026-06-07: Deleted 404.0 MHz SGP point (Purton 1966, observer 14): brightness value inconsistent
#             with aerial temperature by factor ~10. Cross-check against Purton (1966) directly
#             yields ~16.7K aerial temp (consistent with 17.9K in table) but brightness not
#             reliably extractable from that paper. Point excluded; Haslam et al. preferred
#             source for >300 MHz coverage if needed later.
# 2026-06-07: Corrected 2.8 MHz SGP point (Novaco & Brown 1978, observer 15): sky_brightness
#             changed from 1.29e-21 to 1.29e-20. Confirmed typo by cross-referencing independent
#             digitization of Novaco & Brown (1978) plots: NGP BR-receiver point at 2.69 MHz
#             gives brightness 1.3e-20, consistent with corrected value.
#
frequency_MHz,aerial_temp_K,sky_brightness_W_m2_Hz_sr,type,declination,observer_num,observer_ref,table,notes
0.25,7.3e6,1.4e-22,S,,15,Novaco & Brown (1978),NGP,
0.29,1.1e7,2.9e-22,S,,15,Novaco & Brown (1978),NGP,
0.36,1.5e7,5.8e-22,S,,15,Novaco & Brown (1978),NGP,
0.43,1.6e7,9.0e-22,S,,15,Novaco & Brown (1978),NGP,
0.45,1.6e7,9.9e-22,S,,15,Novaco & Brown (1978),NGP,
0.45,4.0e7,2.5e-21,S,,3,Alexander et al. (1969a),NGP,
0.47,1.5e7,9.9e-22,S,,15,Novaco & Brown (1978),NGP,
0.55,3.8e7,3.5e-21,S,,3,Alexander et al. (1969a),NGP,
0.6,1.6e7,1.8e-21,S,,15,Novaco & Brown (1978),NGP,
0.69,1.7e7,2.5e-21,S,,15,Novaco & Brown (1978),NGP,
0.7,3.5e7,5.2e-21,S,,3,Alexander et al. (1969a),NGP,
0.72,3.3e7,5.2e-21,S,,5,Benediktov et al. (1965),NGP,
0.73,1.8e7,2.9e-21,S,,15,Novaco & Brown (1978),NGP,
0.85,2.7e7,6.0e-21,S,,3,Alexander et al. (1969a),NGP,
0.87,1.8e7,4.1e-21,S,,15,Novaco & Brown (1978),NGP,
0.88,1.7e7,4.1e-21,S,,15,Novaco & Brown (1978),NGP,
1.0,2.3e7,7.0e-21,S,,3,Alexander et al. (1969a),NGP,
1.05,1.6e7,5.5e-21,S,,15,Novaco & Brown (1978),NGP,
1.1,2.2e7,8.0e-21,S,,5,Benediktov et al. (1965),NGP,
1.25,1.5e7,7.4e-21,S,,15,Novaco & Brown (1978),NGP,
1.25,2.3e7,1.1e-20,S,,10,Hugill & Smith (1965),NGP,
1.3,1.5e7,7.5e-21,S,,15,Novaco & Brown (1978),NGP,
1.3,1.5e7,8.0e-21,S,,3,Alexander et al. (1969a),NGP,
1.45,1.5e7,9.5e-21,S,,15,Novaco & Brown (1978),NGP,
1.5,2.2e7,1.5e-20,S,,10,Hugill & Smith (1965),NGP,
1.6,1.1e7,8.7e-21,S,,5,Benediktov et al. (1965),NGP,
1.75,1.6e7,1.5e-20,S,,10,Hugill & Smith (1965),NGP,
1.8,1.3e7,1.25e-20,S,,15,Novaco & Brown (1978),NGP,
1.91,2.0e7,2.2e-20,S,,2,Alexander & Stone (1965),NGP,
2.0,1.1e7,1.3e-20,S,,10,Hugill & Smith (1965),NGP,
2.0,6.2e6,7.0e-21,A,+65,13,Parthasarathy (1968),NGP,
2.2,8.1e6,1.2e-20,S,,15,Novaco & Brown (1978),NGP,
2.2,9.4e6,1.4e-20,S,,15,Novaco & Brown (1978),NGP,
2.2,7.7e6,1.15e-20,S,,3,Alexander et al. (1969a),NGP,
2.2,9.4e6,1.4e-20,S,,11,Papagiannis (1964),NGP,
2.5,7.3e6,1.4e-20,S,,10,Hugill & Smith (1965),NGP,
2.7,5.4e6,1.2e-20,S,,3,Alexander et al. (1969a),NGP,
2.8,5.4e6,1.3e-20,S,,15,Novaco & Brown (1978),NGP,
2.85,1.1e7,2.7e-20,S,,2,Alexander & Stone (1965),NGP,
3.0,5.1e6,1.4e-20,S,,10,Hugill & Smith (1965),NGP,
3.0,2.6e6,7.1e-21,A,+65,13,Parthasarathy (1968),NGP,
3.4,4.9e6,1.8e-20,S,,10,Hugill & Smith (1965),NGP,
3.6,4.3e6,1.7e-20,S,,2,Alexander & Stone (1965),NGP,
3.9,2.8e6,1.3e-20,S,,15,Novaco & Brown (1978),NGP,
4.0,3.1e6,1.5e-20,S,,3,Alexander et al. (1969a),NGP,
4.5,2.3e6,1.45e-20,S,,3,Alexander et al. (1969a),NGP,
4.7,3.2e6,2.2e-20,S,,2,Alexander & Stone (1965),NGP,
4.7,1.9e6,1.3e-20,S,,15,Novaco & Brown (1978),NGP,
5.0,1.1e6,8.1e-21,A,+65,12,Parthasarathy & Lerfald (1965),NGP,
6.3,6.5e5,7.9e-21,A,+56,9,Getmantsev et al. (1969),NGP,
7.5,6.7e5,1.15e-20,S,,15,Novaco & Brown (1978),NGP,
9.0,2.8e5,7.1e-21,A,+56,9,Getmantsev et al. (1969),NGP,
9.1,4.0e5,1.02e-20,S,,15,Novaco & Brown (1978),NGP,
10.0,2.3e5,6.9e-21,D,+52,4,Andrew (1966),NGP,
10.0,3.5e5,1.08e-20,A,+41,7,Clark (1967),NGP,
10.0,2.2e5,6.6e-21,A,+65,12,Parthasarathy & Lerfald (1965),NGP,
13.0,1.1e5,5.7e-21,A,+56,9,Getmantsev et al. (1969),NGP,
13.1,1.0e5,5.4e-21,D,+52,4,Andrew (1966),NGP,
13.15,9.0e4,4.8e-21,A,NGP,14,Purton (1966),NGP,
13.15,1.0e5,5.8e-21,A,NGP,6,Bridle (1967),NGP,
17.5,5.4e4,5.0e-21,D,+52,4,Andrew (1966),NGP,
17.5,4.8e4,4.5e-21,A,NGP,14,Purton (1966),NGP,
17.5,5.8e4,5.4e-21,A,NGP,6,Bridle (1967),NGP,
18.6,4.3e4,4.5e-21,A,+56,9,Getmantsev et al. (1969),NGP,
20.0,4.3e4,5.2e-21,A,+65,12,Parthasarathy & Lerfald (1965),NGP,
25.0,2.6e4,5.0e-21,D,NGP,8,Cottony & Johler (1952),NGP,
25.0,1.9e4,3.7e-21,A,+56,9,Getmantsev et al. (1969),NGP,
26.3,1.8e4,3.7e-21,A,NGP,14,Purton (1966),NGP,
26.5,2.0e4,4.2e-21,D,+52,4,Andrew (1966),NGP,
30.0,1.7e4,4.7e-21,A,+65,12,Parthasarathy & Lerfald (1965),NGP,
35.0,1.1e4,4.1e-21,D,NGP,8,Cottony & Johler (1952),NGP,
38.0,9.7e3,4.3e-21,A,+52,1,Adgie & Smith (1956),NGP,
38.0,8.0e3,3.5e-21,D,+52,4,Andrew (1966),NGP,
38.0,7.8e3,3.5e-21,A,NGP,14,Purton (1966),NGP,
40.0,5.8e3,2.8e-21,A,+56,9,Getmantsev et al. (1969),NGP,
50.0,5.0e3,3.8e-21,D,NGP,8,Cottony & Johler (1952),NGP,
50.0,4.3e3,3.3e-21,A,+65,12,Parthasarathy & Lerfald (1965),NGP,
75.0,1.8e3,3.1e-21,D,NGP,8,Cottony & Johler (1952),NGP,
81.5,1.5e3,3.0e-21,A,+52,1,Adgie & Smith (1956),NGP,
81.5,1.1e3,2.3e-21,A,NGP,14,Purton (1966),NGP,
81.5,1.1e3,2.3e-21,A,NGP,6,Bridle (1967),NGP,
110.0,700,2.6e-21,D,NGP,8,Cottony & Johler (1952),NGP,
175.0,266,2.5e-21,A,+52,1,Adgie & Smith (1956),NGP,
178.0,169,1.6e-21,A,NGP,14,Purton (1966),NGP,
0.25,7.8e6,1.5e-22,S,,15,Novaco & Brown (1978),SGP,
0.29,1.24e7,3.2e-22,S,,15,Novaco & Brown (1978),SGP,
0.36,1.7e7,6.7e-22,S,,15,Novaco & Brown (1978),SGP,
0.42,1.85e7,1.0e-21,S,,15,Novaco & Brown (1978),SGP,
0.42,4.4e7,2.4e-21,S,,16,Alexander et al. (1969b),SGP,
0.44,2.2e7,1.3e-21,S,,15,Novaco & Brown (1978),SGP,
0.48,1.9e7,1.35e-21,S,,15,Novaco & Brown (1978),SGP,
0.55,3.8e7,3.5e-21,S,,16,Alexander et al. (1969b),SGP,
0.6,2.0e7,2.2e-21,S,,15,Novaco & Brown (1978),SGP,
0.7,1.9e7,2.9e-21,S,,15,Novaco & Brown (1978),SGP,
0.7,4.1e7,6.2e-21,S,,16,Alexander et al. (1969b),SGP,
0.7,4.7e7,7.0e-21,S,,16,Alexander et al. (1969b),SGP,
0.7,1.8e7,3.0e-21,S,,15,Novaco & Brown (1978),SGP,
0.73,1.8e7,3.0e-21,S,,15,Novaco & Brown (1978),SGP,
0.87,1.7e7,4.0e-21,S,,15,Novaco & Brown (1978),SGP,
0.9,1.8e7,4.5e-21,S,,15,Novaco & Brown (1978),SGP,
0.9,2.2e7,5.5e-21,S,,16,Alexander et al. (1969b),SGP,
0.9,1.8e7,4.5e-21,D,-42,21,Reber & Ellis (1956),SGP,
1.0,2.4e7,7.2e-21,S,,15,Novaco & Brown (1978),SGP,
1.0,1.7e7,5.3e-21,S,,15,Novaco & Brown (1978),SGP,
1.26,1.3e7,6.2e-21,S,,15,Novaco & Brown (1978),SGP,
1.3,1.3e7,6.9e-21,S,,15,Novaco & Brown (1978),SGP,
1.3,1.6e7,8.2e-21,S,,16,Alexander et al. (1969b),SGP,
1.43,1.1e7,6.6e-21,D,-42,21,Reber & Ellis (1956),SGP,
1.45,1.2e7,7.9e-21,S,,15,Novaco & Brown (1978),SGP,
1.65,1.0e7,8.6e-21,A,-42,18,Ellis (1965),SGP,
1.7,8.9e6,7.9e-21,S,,16,Alexander et al. (1969b),SGP,
1.85,9.0e6,9.5e-21,S,,15,Novaco & Brown (1978),SGP,
2.13,7.9e6,1.1e-20,D,-42,21,Reber & Ellis (1956),SGP,
2.2,7.1e6,1.05e-20,S,,15,Novaco & Brown (1978),SGP,
2.2,7.4e6,1.1e-20,S,,15,Novaco & Brown (1978),SGP,
2.3,8.0e6,1.3e-20,S,,16,Alexander et al. (1969b),SGP,
2.3,8.0e6,1.3e-20,A,-42,18,Ellis (1965),SGP,
2.7,5.4e6,1.2e-20,S,,16,Alexander et al. (1969b),SGP,
2.8,5.4e6,1.29e-20,S,,15,Novaco & Brown (1978),SGP,corrected from 1.29e-21; confirmed via Novaco & Brown (1978) plot digitization at 2.69MHz
3.8,4.0e6,1.8e-20,A,-42,17,Ellis (1957),SGP,
3.9,2.7e6,1.28e-20,S,,15,Novaco & Brown (1978),SGP,
3.9,2.9e6,1.35e-20,S,,15,Novaco & Brown (1978),SGP,
4.0,3.7e6,1.8e-20,S,,16,Alexander et al. (1969b),SGP,
4.4,2.9e6,1.7e-20,D,-42,17,Ellis (1957),SGP,
4.5,2.4e6,1.5e-20,S,,16,Alexander et al. (1969b),SGP,
4.7,1.8e6,1.25e-20,S,,15,Novaco & Brown (1978),SGP,
4.7,1.9e6,1.31e-20,S,,15,Novaco & Brown (1978),SGP,
4.8,3.0e6,2.1e-20,A,-42,18,Ellis (1965),SGP,
5.65,1.8e6,1.8e-20,A,-42,17,Ellis (1957),SGP,
6.5,8.5e5,1.1e-20,S,,15,Novaco & Brown (1978),SGP,
9.15,6.0e5,1.5e-20,A,-32,20,Higgins & Shain (1954),SGP,
9.2,3.9e5,1.0e-20,S,,15,Novaco & Brown (1978),SGP,
9.2,3.0e5,8.4e-21,S,,15,Novaco & Brown (1978),SGP,
9.6,7.2e5,2.0e-20,A,-42,18,Ellis (1965),SGP,
10.05,3.8e5,1.2e-20,D,-42,17,Ellis (1957),SGP,
14.1,1.3e5,7.7e-21,D,-34,24,Yates & Wielebinski (1966),SGP,
18.3,7.5e4,7.7e-21,A,-32,23,Shain & Higgins (1954),SGP,
20.0,5.5e4,6.7e-21,D,-34,24,Yates & Wielebinski (1966),SGP,
30.0,1.7e4,4.8e-21,D,-34,24,Yates & Wielebinski (1966),SGP,
48.5,5.1e3,3.7e-21,D,-34,24,Yates & Wielebinski (1966),SGP,
55.0,4.0e3,3.7e-21,A,SGP,22,Rohan & Soden (1970),SGP,
85.0,1.2e3,2.7e-21,D,-34,24,Yates & Wielebinski (1966),SGP,
153.0,240,1.7e-21,A,SGP,19,Hamilton & Haynes (1969),SGP,
