# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
60.00,2981.5180
60.08,3011.3416
60.16,3000.9939
60.24,3029.9673
60.32,2970.9217
60.40,2980.2069
60.48,2949.8473
60.56,2933.7529
60.64,2929.5260
60.72,2949.8944
60.80,2908.9459
60.88,2948.6896
60.96,2888.1320
61.04,2866.7889
61.12,2842.3682
61.20,2857.4015
61.28,2812.0628
61.36,2767.5168
61.44,2798.3055
61.52,2738.9215
61.60,
61.68,
61.76,
61.84,
61.92,2700.5882
62.00,2760.4218
62.08,2757.7287
62.16,2762.7445
62.24,2740.4343
62.32,2731.4017
62.40,2724.6296
62.48,2719.6207
62.56,2718.8178
62.64,2721.9187
62.72,2701.6978
62.80,2719.2165
62.88,2678.7483
62.96,2690.5050
63.04,2681.2586
63.12,2661.5981
63.20,2635.3075
63.28,2650.4619
63.36,2624.4741
63.44,2627.7902
63.52,2621.7042
63.60,2629.7590
63.68,2621.5479
63.76,2621.0517
63.84,2593.2373
63.92,2598.1288
64.00,2562.8532
64.08,2565.9486
64.16,2541.5044
64.24,2551.0363
64.32,2529.3242
64.40,2540.6619
64.48,2505.4934
64.56,2507.7955
64.64,2503.4764
64.72,2524.4030
64.80,2488.5360
64.88,2500.0851
64.96,2450.9087
65.04,2480.5181
65.12,2468.5663
65.20,2449.7969
65.28,2429.3048
65.36,2434.0746
65.44,2451.3860
65.52,2427.9565
65.60,2384.9202
65.68,2368.3144
65.76,2376.2946
65.84,2335.8174
65.92,2349.2502
66.00,2359.2767
66.08,2357.1033
66.16,2359.6592
66.24,2368.0884
66.32,2344.8778
66.40,2360.0069
66.48,2345.5483
66.56,2312.2032
66.64,2329.7325
66.72,2322.6531
66.80,2318.9316
66.88,2307.1675
66.96,2305.0887
67.04,2288.8066
67.12,2301.8982
67.20,2274.8074
67.28,2289.5563
67.36,2280.8199
67.44,2260.3603
67.52,2241.6842
67.60,2237.2352
67.68,2230.3251
67.76,2255.4986
67.84,2234.6000
67.92,2228.4285
68.00,2202.1034
68.08,2181.3458
68.16,2194.2377
68.24,2193.3143
68.32,2175.4959
68.40,2174.5265
68.48,2173.8268
68.56,2166.8352
68.64,2164.7093
68.72,2162.4629
68.80,2152.6417
68.88,2139.8809
68.96,2131.1183
69.04,2112.4358
