# Mozdzen et al. (2019) EDGES low-band foreground model
# Source: MNRAS 483, 4416-4423 (2019), eq. 5 + Table 3
# Model: 3-parameter power law with first-order ionospheric absorption
#   T_ant(nu) = T75*(nu/75.0)^(beta+gamma*ln(nu/75.0))*(1 - tau*(nu/75.0)^-2) + T_CMB
# Parameters (LST=6h, 3-param + ionosphere): T75=1682.0 K, beta=-2.595, gamma=-0.034, tau=0.005, T_CMB=2.725 K
# Valid (fitted) range: 50.0-100.0 MHz
# Generated range: 50.0-100.0 MHz at 0.5 MHz resolution
# This is a MODEL curve, not measured data.
# CHANGELOG
# 2026-07-08: Generated by make_mozdzen_spectrum.py
#
frequency_MHz,T_antenna_K
50.0000,4739.0527
50.5000,4620.6069
51.0000,4506.1970
51.5000,4395.6496
52.0000,4288.8002
52.5000,4185.4927
53.0000,4085.5790
53.5000,3988.9182
54.0000,3895.3768
54.5000,3804.8278
55.0000,3717.1501
55.5000,3632.2290
56.0000,3549.9550
56.5000,3470.2238
57.0000,3392.9363
57.5000,3317.9979
58.0000,3245.3183
58.5000,3174.8117
59.0000,3106.3959
59.5000,3039.9926
60.0000,2975.5270
60.5000,2912.9277
61.0000,2852.1264
61.5000,2793.0579
62.0000,2735.6597
62.5000,2679.8722
63.0000,2625.6383
63.5000,2572.9032
64.0000,2521.6146
64.5000,2471.7225
65.0000,2423.1786
65.5000,2375.9369
66.0000,2329.9533
66.5000,2285.1855
67.0000,2241.5927
67.5000,2199.1361
68.0000,2157.7781
68.5000,2117.4827
69.0000,2078.2156
69.5000,2039.9435
70.0000,2002.6344
70.5000,1966.2578
71.0000,1930.7843
71.5000,1896.1853
72.0000,1862.4337
72.5000,1829.5032
73.0000,1797.3686
73.5000,1766.0054
74.0000,1735.3904
74.5000,1705.5008
75.0000,1676.3150
75.5000,1647.8120
76.0000,1619.9716
76.5000,1592.7742
77.0000,1566.2012
77.5000,1540.2343
78.0000,1514.8561
78.5000,1490.0497
79.0000,1465.7988
79.5000,1442.0876
80.0000,1418.9010
80.5000,1396.2242
81.0000,1374.0431
81.5000,1352.3439
82.0000,1331.1134
82.5000,1310.3389
83.0000,1290.0078
83.5000,1270.1082
84.0000,1250.6286
84.5000,1231.5577
85.0000,1212.8846
85.5000,1194.5989
86.0000,1176.6903
86.5000,1159.1491
87.0000,1141.9657
87.5000,1125.1308
88.0000,1108.6355
88.5000,1092.4711
89.0000,1076.6293
89.5000,1061.1019
90.0000,1045.8809
90.5000,1030.9588
91.0000,1016.3280
91.5000,1001.9815
92.0000,987.9121
92.5000,974.1132
93.0000,960.5781
93.5000,947.3004
94.0000,934.2740
94.5000,921.4929
95.0000,908.9511
95.5000,896.6430
96.0000,884.5632
96.5000,872.7061
97.0000,861.0667
97.5000,849.6399
98.0000,838.4207
98.5000,827.4044
99.0000,816.5864
99.5000,805.9620
100.0000,795.5270
